_id,userId,behaviorList,__v
6615fe74fb59f663262debb2,6615fe74fb59f663262debae,"[{'mangaId': ObjectId('65fbb99f90808e16537dfb59'), 'rating': None, 'numOfComment': 15, 'isFollow': False, 'sumTimeRead': 0, 'readingFrequency': 0, 'view': 0, '_id': ObjectId('6615feb8fb59f663262debcc'), 'createdAt': datetime.datetime(2024, 4, 10, 2, 51, 36, 95000), 'updatedAt': datetime.datetime(2024, 4, 10, 9, 55, 27, 527000)}]",1
6615fe80fb59f663262debbd,6615fe80fb59f663262debb9,[],0
661ca37061982cf0c0757dd5,661ca37061982cf0c0757dd0,"[{'mangaId': ObjectId('661e20ab2e7136d4973b0cfc'), 'rating': None, 'numOfComment': 3, 'isFollow': False, 'sumTimeRead': 0, 'readingFrequency': 0, 'view': 0, '_id': ObjectId('661e2df6b71b7f630c155ee3'), 'createdAt': datetime.datetime(2024, 4, 16, 7, 51, 18, 924000), 'updatedAt': datetime.datetime(2024, 4, 16, 9, 7, 14, 705000)}]",12
661e487e6addb64b6550b43c,661e487e6addb64b6550b438,"[{'mangaId': ObjectId('661e20ab2e7136d4973b0cfc'), 'rating': 4.5, 'numOfComment': 0, 'isFollow': False, 'sumTimeRead': 0, 'readingFrequency': 0, 'view': 0, '_id': ObjectId('661f78b01b5a8da6cd4df23b'), 'createdAt': datetime.datetime(2024, 4, 17, 7, 22, 24, 64000), 'updatedAt': datetime.datetime(2024, 4, 17, 10, 23, 25, 183000)}]",2
